Date,AAPL,MSFT,TSLA
2022-01-03,178.64561462402344,325.0380554199219,399.9266662597656
2022-01-04,176.37835693359375,319.4645690917969,383.1966552734375
2022-01-05,171.68667602539062,307.2010498046875,362.7066650390625
2022-01-06,168.8206787109375,304.7735290527344,354.8999938964844
2022-01-07,168.98751831054688,304.9289245605469,342.32000732421875
2022-01-10,169.0071563720703,305.1522216796875,352.7066650390625
2022-01-11,171.84375,305.8416442871094,354.79998779296875
2022-01-12,172.28543090820312,309.0361633300781,368.739990234375
2022-01-13,169.0071563720703,295.9570007324219,343.85333251953125
2022-01-14,169.87091064453125,301.2003173828125,349.8699951171875
2022-01-18,166.66136169433594,293.8692626953125,343.5033264160156
2022-01-19,163.15733337402344,294.5296325683594,331.8833312988281
2022-01-20,161.46913146972656,292.8498229980469,332.0899963378906
2022-01-21,159.407958984375,287.4414367675781,314.6333312988281
2022-01-24,158.632568359375,287.77154541015625,310.0
2022-01-25,156.82655334472656,280.1201171875,306.1333312988281
2022-01-26,156.7382049560547,288.1016845703125,312.4700012207031
2022-01-27,156.27688598632812,291.140869140625,276.3666687011719
2022-01-28,167.18153381347656,299.3165588378906,282.1166687011719
2022-01-31,171.54930114746094,301.9576721191406,312.239990234375
2022-02-01,171.38243103027344,299.8020935058594,310.4166564941406
2022-02-02,172.58970642089844,304.36566162109375,301.88665771484375
2022-02-03,169.70404052734375,292.5099792480469,297.0466613769531
2022-02-04,169.41905212402344,297.06390380859375,307.7733459472656
2022-02-07,168.70164489746094,292.2187194824219,302.4466552734375
2022-02-08,171.81698608398438,295.72393798828125,307.3333435058594
2022-02-09,173.2420196533203,302.18109130859375,310.6666564941406
2022-02-10,169.15370178222656,293.6072082519531,301.51666259765625
2022-02-11,165.7336883544922,286.4801025390625,286.6666564941406
2022-02-14,165.96957397460938,286.4413757324219,291.9200134277344
2022-02-15,169.8121337890625,291.7525634765625,307.4766540527344
2022-02-16,169.5762939453125,291.4120788574219,307.7966613769531
2022-02-17,165.96957397460938,282.8789367675781,292.1166687011719
2022-02-18,164.41673278808594,280.1545104980469,285.6600036621094
2022-02-22,161.4881134033203,279.9501953125,273.84332275390625
2022-02-23,157.31138610839844,272.7013854980469,254.67999267578125
2022-02-24,159.93536376953125,286.63470458984375,266.92333984375
2022-02-25,162.0089874267578,289.28118896484375,269.9566650390625
2022-02-28,162.2743377685547,290.7212829589844,290.1433410644531
2022-03-01,160.38742065429688,286.9849548339844,288.1233215332031
2022-03-02,163.68951416015625,292.08343505859375,293.2966613769531
2022-03-03,163.36521911621094,287.9288024902344,279.7633361816406
2022-03-04,160.35797119140625,282.03240966796875,279.42999267578125
2022-03-07,156.55462646484375,271.3780822753906,268.1933288574219
2022-03-08,154.72671508789062,268.4007263183594,274.79998779296875
2022-03-09,160.1417236328125,280.7090759277344,286.3233337402344
2022-03-10,155.78807067871094,277.877685546875,279.4333190917969
2022-03-11,152.06341552734375,272.5068359375,265.1166687011719
2022-03-14,148.0242462158203,268.9747314453125,255.4566650390625
2022-03-15,152.41720581054688,279.3955383300781,267.2966613769531
2022-03-16,156.83963012695312,286.44012451171875,280.07666015625
2022-03-17,157.85186767578125,287.2476501464844,290.5333251953125
2022-03-18,161.1539764404297,292.3169860839844,301.7966613769531
2022-03-21,162.52984619140625,291.0812683105469,307.0533447265625
2022-03-22,165.9105682373047,295.848876953125,331.32666015625
2022-03-23,167.276611328125,291.40228271484375,333.03668212890625
2022-03-24,171.07009887695312,295.8878479003906,337.97332763671875
2022-03-25,171.70889282226562,295.4791564941406,336.8800048828125
2022-03-28,172.57373046875,302.30963134765625,363.9466552734375
2022-03-29,175.87583923339844,306.8924255371094,366.5233459472656
2022-03-30,174.70632934570312,305.3842468261719,364.663330078125
2022-03-31,171.60079956054688,299.9841613769531,359.20001220703125
2022-04-01,171.30596923828125,301.0641784667969,361.5299987792969
2022-04-04,175.36477661132812,306.4642639160156,381.8166809082031
2022-04-05,172.04302978515625,302.4847412109375,363.7533264160156
2022-04-06,168.8686981201172,291.4120788574219,348.586669921875
2022-04-07,169.17333984375,293.2315673828125,352.4200134277344
2022-04-08,167.15866088867188,288.95037841796875,341.8299865722656
2022-04-11,162.89349365234375,277.5566101074219,325.30999755859375
2022-04-12,164.77056884765625,274.4429626464844,328.98333740234375
2022-04-13,167.4633331298828,279.8528747558594,340.7900085449219
2022-04-14,162.44140625,272.27325439453125,328.3333435058594
2022-04-18,162.2252197265625,272.9446105957031,334.7633361816406
2022-04-19,164.51502990722656,277.59552001953125,342.7166748046875
2022-04-20,164.3479461669922,278.62689208984375,325.73333740234375
2022-04-21,163.5519256591797,273.2267761230469,336.260009765625
2022-04-22,159.00172424316406,266.6298828125,335.01666259765625
2022-04-25,160.0729522705078,273.13922119140625,332.67333984375
2022-04-26,154.09771728515625,262.9227600097656,292.1400146484375
2022-04-27,153.87167358398438,275.57171630859375,293.836669921875
2022-04-28,160.81985473632812,281.8086242675781,292.5033264160156
2022-04-29,154.9330291748047,270.02557373046875,290.2533264160156
2022-05-02,155.23773193359375,276.7879638671875,300.9800109863281
2022-05-03,156.73150634765625,274.1706237792969,303.0833435058594
2022-05-04,163.15882873535156,282.1491394042969,317.5400085449219
2022-05-05,154.0682373046875,269.8601989746094,291.09332275390625
2022-05-06,154.79656982421875,267.31103515625,288.54998779296875
2022-05-09,149.6589813232422,257.43511962890625,262.3699951171875
2022-05-10,152.07029724121094,262.22222900390625,266.67999267578125
2022-05-11,144.186767578125,253.51394653320312,244.6666717529297
