Date,AAPL,MSFT,TSLA
2022-01-03,178.64564514160156,325.0380859375,399.9266662597656
2022-01-04,176.37835693359375,319.4645690917969,383.1966552734375
2022-01-05,171.68666076660156,307.20098876953125,362.7066650390625
2022-01-06,168.8206787109375,304.7735595703125,354.8999938964844
2022-01-07,168.98756408691406,304.92889404296875,342.32000732421875
2022-01-10,169.00718688964844,305.1522521972656,352.7066650390625
2022-01-11,171.84376525878906,305.8416442871094,354.79998779296875
2022-01-12,172.28543090820312,309.0361633300781,368.739990234375
2022-01-13,169.00718688964844,295.9570007324219,343.85333251953125
2022-01-14,169.8708953857422,301.2003173828125,349.8699951171875
2022-01-18,166.66136169433594,293.8692932128906,343.5033264160156
2022-01-19,163.15731811523438,294.5296630859375,331.8833312988281
2022-01-20,161.4691162109375,292.8498229980469,332.0899963378906
2022-01-21,159.40797424316406,287.44146728515625,314.6333312988281
2022-01-24,158.63255310058594,287.77154541015625,310.0
2022-01-25,156.82656860351562,280.1201171875,306.1333312988281
2022-01-26,156.7382049560547,288.1017150878906,312.4700012207031
2022-01-27,156.27691650390625,291.1408386230469,276.3666687011719
2022-01-28,167.1815643310547,299.3166198730469,282.1166687011719
2022-01-31,171.54928588867188,301.95770263671875,312.239990234375
2022-02-01,171.3824462890625,299.8020935058594,310.4166564941406
2022-02-02,172.5896759033203,304.36578369140625,301.88665771484375
2022-02-03,169.7040557861328,292.510009765625,297.0466613769531
2022-02-04,169.4190216064453,297.06390380859375,307.7733459472656
2022-02-07,168.70162963867188,292.21868896484375,302.4466552734375
2022-02-08,171.8170166015625,295.72393798828125,307.3333435058594
2022-02-09,173.2420196533203,302.1809997558594,310.6666564941406
2022-02-10,169.1536865234375,293.6071472167969,301.51666259765625
2022-02-11,165.73365783691406,286.4801330566406,286.6666564941406
2022-02-14,165.96954345703125,286.4412536621094,291.9200134277344
2022-02-15,169.81216430664062,291.7525634765625,307.4766540527344
2022-02-16,169.57630920410156,291.412109375,307.7966613769531
2022-02-17,165.96954345703125,282.8788757324219,292.1166687011719
2022-02-18,164.41676330566406,280.154541015625,285.6600036621094
2022-02-22,161.48812866210938,279.9501953125,273.84332275390625
2022-02-23,157.31137084960938,272.7013854980469,254.67999267578125
2022-02-24,159.93536376953125,286.63470458984375,266.92333984375
2022-02-25,162.00901794433594,289.2812194824219,269.9566650390625
2022-02-28,162.27430725097656,290.72125244140625,290.1433410644531
2022-03-01,160.3874053955078,286.98486328125,288.1233215332031
2022-03-02,163.6895294189453,292.0834655761719,293.2966613769531
2022-03-03,163.36520385742188,287.9288024902344,279.7633361816406
2022-03-04,160.35794067382812,282.0323791503906,279.42999267578125
2022-03-07,156.55462646484375,271.37811279296875,268.1933288574219
2022-03-08,154.72669982910156,268.4007263183594,274.79998779296875
2022-03-09,160.1417236328125,280.7091369628906,286.3233337402344
2022-03-10,155.7880859375,277.8777160644531,279.4333190917969
2022-03-11,152.0634002685547,272.50677490234375,265.1166687011719
2022-03-14,148.0242462158203,268.97479248046875,255.4566650390625
2022-03-15,152.41717529296875,279.3955993652344,267.2966613769531
2022-03-16,156.8396453857422,286.4401550292969,280.07666015625
2022-03-17,157.85191345214844,287.2476501464844,290.5333251953125
2022-03-18,161.1539764404297,292.31695556640625,301.7966613769531
2022-03-21,162.52989196777344,291.0812683105469,307.0533447265625
2022-03-22,165.91058349609375,295.8489074707031,331.32666015625
2022-03-23,167.27662658691406,291.40228271484375,333.03668212890625
2022-03-24,171.07009887695312,295.8878479003906,337.97332763671875
2022-03-25,171.70887756347656,295.4791564941406,336.8800048828125
2022-03-28,172.57371520996094,302.30963134765625,363.9466552734375
2022-03-29,175.87583923339844,306.8924255371094,366.5233459472656
2022-03-30,174.70631408691406,305.38427734375,364.663330078125
2022-03-31,171.60079956054688,299.98419189453125,359.20001220703125
2022-04-01,171.3059539794922,301.064208984375,361.5299987792969
2022-04-04,175.3647918701172,306.46429443359375,381.8166809082031
2022-04-05,172.04298400878906,302.4847717285156,363.7533264160156
2022-04-06,168.86871337890625,291.412109375,348.586669921875
2022-04-07,169.17335510253906,293.2315368652344,352.4200134277344
2022-04-08,167.15867614746094,288.9504089355469,341.8299865722656
2022-04-11,162.89349365234375,277.5566101074219,325.30999755859375
2022-04-12,164.77056884765625,274.4430236816406,328.98333740234375
2022-04-13,167.46331787109375,279.8528747558594,340.7900085449219
2022-04-14,162.44137573242188,272.27325439453125,328.3333435058594
2022-04-18,162.2252197265625,272.9446105957031,334.7633361816406
2022-04-19,164.51502990722656,277.59552001953125,342.7166748046875
2022-04-20,164.3479766845703,278.62689208984375,325.73333740234375
2022-04-21,163.5519256591797,273.2267761230469,336.260009765625
2022-04-22,159.00172424316406,266.6298522949219,335.01666259765625
2022-04-25,160.0729522705078,273.1392517089844,332.67333984375
2022-04-26,154.09771728515625,262.92279052734375,292.1400146484375
2022-04-27,153.87168884277344,275.57171630859375,293.836669921875
2022-04-28,160.81985473632812,281.80859375,292.5033264160156
2022-04-29,154.9330596923828,270.025634765625,290.2533264160156
2022-05-02,155.2377166748047,276.78790283203125,300.9800109863281
2022-05-03,156.7315216064453,274.17059326171875,303.0833435058594
2022-05-04,163.15879821777344,282.14923095703125,317.5400085449219
2022-05-05,154.0682373046875,269.8602600097656,291.09332275390625
2022-05-06,154.7965545654297,267.3110046386719,288.54998779296875
2022-05-09,149.65899658203125,257.43511962890625,262.3699951171875
2022-05-10,152.0702667236328,262.2221984863281,266.67999267578125
2022-05-11,144.186767578125,253.51385498046875,244.6666717529297
